platform,text,user_id,total_interactions_count,statistics,username,user_description,created_at,profile_url,post_url,media_url
twitter,"Fix the underlying cause of the conflict, not just the instant symptom. The relentless aggression against Palestinians and the usurpation of their territories by the Zionist state is a fact that cannot be ignored. See these graphics to understand the roots of the conflict. https://t.co/w5cZJhqOQQ",912116150,7047,"{'quote_count': 16, 'retweet_count': 2109, 'like_count': 4922}",Hammad_Azhar,Secretary General #PTI Central Punjab,2023-10-07 16:44:48,https://pbs.twimg.com/profile_images/1601125195040833537/5otbZvL0_normal.jpg,https://twitter.com/Hammad_Azhar/status/1710697694480543970,https://pbs.twimg.com/media/F72eePrXIAARip1.jpg
twitter,"Many say that this is the worst intelligence failure in the history of Israel. I think it can be explained by the internal political conflict that has been raging in Israel for months. 

Political divisiveness is a grave  threat to a country’s safety and sovereignty. The US…",880412538625810432,18337,"{'quote_count': 215, 'retweet_count': 1957, 'like_count': 16165}",BillAckman,"CEO Pershing Square, Co-trustee @PershingSqFdn",2023-10-07 12:28:09,https://pbs.twimg.com/profile_images/1619837521059348481/9UeNLFmD_normal.jpg,https://twitter.com/BillAckman/status/1710633105508204955,
twitter,"Hey, @elonmusk, should Israel make peace &amp; give up some territory? Are the US weapons only prolonging the conflict?",1521404123098361857,16531,"{'quote_count': 74, 'retweet_count': 1816, 'like_count': 14641}",SmartUACat,"Support me  👇
https://t.co/0mYNDUkYUM",2023-10-07 08:36:36,https://pbs.twimg.com/profile_images/1676731129334726656/FKGNvaVA_normal.jpg,https://twitter.com/SmartUACat/status/1710574835758207466,
twitter,"Here's some crucial  background to the ongoing  conflict in Palestine. 75 years ago, thousands of Palestinians were massacred, and entire communities were driven from their ancestral lands by the state of Israel. 

This catastrophe is directly linked to what's happening  today. https://t.co/RSEreZcuSU",1056957124046143495,5309,"{'quote_count': 103, 'retweet_count': 1757, 'like_count': 3449}",BowesChay,"Interested in History, Strategy (MA) GeoPolitics, Facts should define the Narrative, the Narrative shouldn’t define the facts. Think for Yourself.",2023-10-07 18:07:24,https://pbs.twimg.com/profile_images/1590158638814986242/fdocxv35_normal.jpg,https://twitter.com/BowesChay/status/1710718482357117169,https://pbs.twimg.com/ext_tw_video_thumb/1710718278732013568/pu/img/XX3kQvWdpebEUtDU.jpg
twitter,"First thoughts on the ongoing Hamas attack against Israel:

1.  Massive Israeli intelligence failure.  The last time Israel was blind sided this badly was the '73 war.  Though we should note Israel came out on top in that conflict 50 years ago.

2. The scope of this infiltration…",621317404,9815,"{'quote_count': 112, 'retweet_count': 1616, 'like_count': 8087}",RealCynicalFox,"USAF Vet. 
University College London Alumnus. @UCL
Foreign Policy / Military Analyst. 
All opinions expressed are my own.",2023-10-07 15:09:04,https://pbs.twimg.com/profile_images/1427509414504718346/smbAOskb_normal.jpg,https://twitter.com/RealCynicalFox/status/1710673604751319404,
twitter,"Some people have been asking my position on the ongoing conflict between Israel and Hamas. 

It’s simple. I don't want a single penny of Canadian taxpayers money to go to support EITHER SIDE of another foreign war that has nothing to do with us!",2791988124,9738,"{'quote_count': 197, 'retweet_count': 1420, 'like_count': 8121}",MaximeBernier,Chef du @ppopulaireca / Leader of the @peoplespca,2023-10-07 17:01:45,https://pbs.twimg.com/profile_images/798544589019713537/4i1kOcoj_normal.jpg,https://twitter.com/MaximeBernier/status/1710701960892919926,
twitter,"Katherine Murphy calls out Dutton &amp; the No campaign’s “deliberate” strategy for “conflict” &amp; hits the nail on the head on the struggle for reconciliation through a Voice
“If racism sets the standard for what we can &amp; cannot do in this country, we’re in a bad place” #Insiders https://t.co/fNLzhiJDhS",1456025947719622661,5511,"{'quote_count': 87, 'retweet_count': 1389, 'like_count': 4035}",strangerous10,Former Law Enforcement reporting on political corruption. Don’t know who I am anymore. Confused but #IRemember the #RobodebtRC……….⚫️🟡🔴🌈,2023-10-07 22:33:06,https://pbs.twimg.com/profile_images/1722045550873423872/Ly3JlAxD_normal.jpg,https://twitter.com/strangerous10/status/1710785347641294892,https://pbs.twimg.com/ext_tw_video_thumb/1710785241861029888/pu/img/whpEcUpTGGO7gVEf.jpg
twitter,I breathlessly await @Bundeskanzler Scholz’s statement that Israel shouldn’t attack Hamas-held territory or infrastructure as that might escalate the conflict.,3899254043,8646,"{'quote_count': 51, 'retweet_count': 1351, 'like_count': 7244}",berlin_bridge,"Security & geopolitics | Past work & life in 🇦🇫🇨🇳🇲🇲🇷🇼🇬🇧🇺🇸 | Capital Germany 40under40 | ☕ https://t.co/bJJwJ9yq8b | Don’t just get mad, get busy",2023-10-07 10:11:23,https://pbs.twimg.com/profile_images/1488478985495486469/bvYvnluN_normal.jpg,https://twitter.com/berlin_bridge/status/1710598690656661920,
twitter,"The President of the United States, Joe Biden has Warned any other Country, Group, or Organization from attempting to Interfere with the Conflict in Israel and that it they do it will be met with a Swift Response.",1457867047334031360,9543,"{'quote_count': 202, 'retweet_count': 1197, 'like_count': 8144}",sentdefender,Open Source Intelligence Monitor focused on Europe and Conflicts across the World. RT ≠ Endorsement. Want to Support my Work? https://t.co/PcUbewvWPr,2023-10-07 15:22:25,https://pbs.twimg.com/profile_images/1505052393750384642/XNFUztL2_normal.jpg,https://twitter.com/sentdefender/status/1710676962413322572,
twitter,"“Most Palestinians want peace”

Yeah I’m not buying it mate

There is zero Palestinian peace movement

Palestinian society and its leadership is deeply toxified with Muslim supremacy and anti-Jewish racism

This is a cause of the conflict - not a byproduct

Call it out or sod off",1017650079610613760,8113,"{'quote_count': 61, 'retweet_count': 1176, 'like_count': 6876}",leekern13,🇬🇧🇮🇱Oscar nominated (Borat2)🥇WGA BestScreenwriter🏅Golden Globe winning film. Spurs🐓 Boxing 🥊 Jew ✡️ poetry📚pies🥧 subscribe free or paid to my Substack,2023-10-07 14:57:56,https://pbs.twimg.com/profile_images/1373342285694439427/fASKf1z4_normal.jpg,https://twitter.com/leekern13/status/1710670801563754773,
twitter,"BREAKING:

Medvedev regarding the war between Israel and Palestine:

 ""Clashes between Hamas and Israel on the 50th anniversary of the Yom Kippur War come as an expected development. This is what Washington and its allies should be busy with. The conflict between Israel and… https://t.co/6YegwW4uPS",1225234593789423616,4550,"{'quote_count': 78, 'retweet_count': 1142, 'like_count': 3330}",Megatron_ron,Breaking news || Geopolitics || Wars monitoring,2023-10-07 09:34:11,https://pbs.twimg.com/profile_images/1364488316184371200/-RXz6jU5_normal.jpg,https://twitter.com/Megatron_ron/status/1710589326310977655,https://pbs.twimg.com/media/F7077VNXsAAHSRE.jpg
twitter,I thought Republicans always said we’re supposed to support the President in times of global conflict,15115280,7091,"{'quote_count': 41, 'retweet_count': 1108, 'like_count': 5942}",PalmerReport,Political analysis ahead of the curve.,2023-10-07 21:30:34,https://pbs.twimg.com/profile_images/1301392629230338048/wEJnZzSn_normal.jpg,https://twitter.com/PalmerReport/status/1710769611413856609,
twitter,"And finally, a thought for far too many people on here: you shouldn't celebrate anything in this fucking conflict. It always ends in tears.",14346260,7914,"{'quote_count': 73, 'retweet_count': 1046, 'like_count': 6795}",glcarlstrom,"Middle East correspondent, @TheEconomist. Author, 'How Long Will Israel Survive? The Threat From Within.'",2023-10-07 16:49:57,https://pbs.twimg.com/profile_images/1604474723974483969/F7dSjL2Y_normal.jpg,https://twitter.com/glcarlstrom/status/1710698993183870995,
twitter,"BREAKING: As the Israel/Palestine conflict deteriorates, neutral third party peace keepers will be deployed to the Holy Land...er... the region, to maintain peace and in no way reinstate the Kingdom of Jerusalem https://t.co/Q31CQZYASp",1645409810,14046,"{'quote_count': 101, 'retweet_count': 1017, 'like_count': 12928}",AltHistCody,Personal account of silly scenarios guy 🏴‍☠️,2023-10-07 17:27:47,https://pbs.twimg.com/profile_images/1706716932374695936/QVw7AvZq_normal.jpg,https://twitter.com/AltHistCody/status/1710708513180151890,https://pbs.twimg.com/media/F72oQIRX0AA8wLD.jpg
twitter,"Murdering an Israeli woman, stripping her naked, parading her body, desecrating her and spitting on her while shouting “allahu akbar!” is not war or conflict.
It’s hate filled murder, demanding genocide and yet more hate.
Now watch the far left when Israel inevitably responds.",1069439375669379072,6207,"{'quote_count': 26, 'retweet_count': 995, 'like_count': 5186}",cold957,#Veteran. 1st Bn Coldstream Guards/Guards Para. We can forgive a child who is afraid of the dark. The real tragedy of life is when men fear the light. NO DMs.,2023-10-07 11:45:50,https://pbs.twimg.com/profile_images/1592043842102083584/l5jNUwt5_normal.jpg,https://twitter.com/cold957/status/1710622456531034328,
twitter,"Those who gloat about today's Hamas attacks must know: In the Israeli-Palestine conflict, one Israeli gets killed by Palestinians, Israel kills 7 Palestinians. In 2023, while around 30 Israelis have been killed more than 200 Palestinians have been killed.",70355674,4180,"{'quote_count': 56, 'retweet_count': 942, 'like_count': 3182}",ashoswai,"Professor of Peace and Conflict Research
@UU_Peace
 Uppsala University
'Right is Wrong' column, @gulf_news 
Views my own",2023-10-07 07:53:54,https://pbs.twimg.com/profile_images/1578378891605032961/m3V_oxMe_normal.jpg,https://twitter.com/ashoswai/status/1710564090760900911,
twitter,Hamas have literally kidnapped toddlers. They’ve kidnapped toddlers. All those people who try to excuse or justify every Palestinian action need to grow up now. It’s really time for you to grow up. And maybe also consider if you’ve ever actually analysed the conflict correctly.,1017650079610613760,4799,"{'quote_count': 20, 'retweet_count': 928, 'like_count': 3851}",leekern13,🇬🇧🇮🇱Oscar nominated (Borat2)🥇WGA BestScreenwriter🏅Golden Globe winning film. Spurs🐓 Boxing 🥊 Jew ✡️ poetry📚pies🥧 subscribe free or paid to my Substack,2023-10-07 23:45:31,https://pbs.twimg.com/profile_images/1373342285694439427/fASKf1z4_normal.jpg,https://twitter.com/leekern13/status/1710803572424630478,
twitter,"@SaeedDiCaprio The Human Cost Of The Israeli-Palestinian Conflict ( deaths/injuries): documented by the UN:

2008:
Palestine 🇵🇸: 3,202
Israel 🇮🇱: 853

2009:
Palestine 🇵🇸: 7,460
Israel 🇮🇱: 123

2010:
Palestine 🇵🇸: 1,659
Israel 🇮🇱: 185

2011:
Palestine 🇵🇸: 2,260
Israel 🇮🇱: 136

2012:
Palestine…",1394953846212890629,4500,"{'quote_count': 94, 'retweet_count': 910, 'like_count': 3496}",itswpceo,"Gets the latest world updates, Asia, Europe, America, Africa | content creator, stats & opinion.",2023-10-07 19:29:55,https://pbs.twimg.com/profile_images/1641164960536616961/l0xo2v3d_normal.jpg,https://twitter.com/itswpceo/status/1710739248461041849,
twitter,"I know I should just ignore it but it makes me very angry when I say that killing civilians is wrong and then idiots who don’t know the first thing about my career reply “these people don’t care when Israel does it”.

Yes I do. I cared long before you even heard of the conflict.",84083187,9574,"{'quote_count': 89, 'retweet_count': 885, 'like_count': 8600}",OzKaterji,Ukraine Correspondent. British-Lebanese conflict journalist & filmmaker based in Kyiv. Member of the Foreign Press Association. RTs ≠ endorsement.,2023-10-07 19:38:03,https://pbs.twimg.com/profile_images/1713181637574275072/gUp8KMF4_normal.jpg,https://twitter.com/OzKaterji/status/1710741293784023380,
twitter,"I was sleeping off a hangover when the conflict in #Israel erupted, but I've done a couple lines of cocaine and now I'm wide awake.

Canada stands firmly with Hamas.

No. Wait. Who are the good guys again? I can't handle this, it's too early. I'm going to Tofino. https://t.co/uWDD6G4jda",1539947315749916672,5685,"{'quote_count': 45, 'retweet_count': 836, 'like_count': 4804}",Trudeaus_Ego,"The egotistical thoughts of Prime Minister Trudeau. Father, ex-husband, Liberal leader, 23rd Prime Minister of Canada, bigot. Parody.",2023-10-07 14:33:02,https://pbs.twimg.com/profile_images/1539948168720404486/O5g8YGp7_normal.jpg,https://twitter.com/Trudeaus_Ego/status/1710664534258794501,https://pbs.twimg.com/media/F72AVEhboAAZ6m_.jpg
twitter,"Middle East Conflict explained.
Palestine, Israel and the Ancient Book of Made-Up Stories
Created by the amazing @TadhgHickey 
https://t.co/4ptcAPD1XJ",939673452763639811,3013,"{'quote_count': 69, 'retweet_count': 822, 'like_count': 2122}",RaggedTP,"Left wing news, satire and comment.
Based on the socialist principles of Robert Tressell's Ragged Trousered Philanthropists. 🏴󠁧󠁢󠁳󠁣󠁴󠁿🇵🇸🇮🇪",2023-10-07 21:26:45,https://pbs.twimg.com/profile_images/1316174416846389250/Ov7Sbn75_normal.jpg,https://twitter.com/RaggedTP/status/1710768650599215158,https://pbs.twimg.com/ext_tw_video_thumb/1681954304855343104/pu/img/7yjGfJtPnEI54I_M.jpg
twitter,"As all else fails, nefarious globalists are pushing for WAR in order to maintain their failing grip on power. 

Divide &amp; conquer. It’s the oldest trick in the book. 

They are keen to exploit every tragedy, every conflict &amp; every atrocity in order to do so.

Do not let them win.",46078438,4168,"{'quote_count': 35, 'retweet_count': 801, 'like_count': 3332}",MaajidNawaz,resisting the democratisation of truth - nolite te bastardes carborundorum,2023-10-07 23:35:39,https://pbs.twimg.com/profile_images/1291084492556435456/cixE3Yas_normal.jpg,https://twitter.com/MaajidNawaz/status/1710801090759774545,
twitter,"Today, I have been threatened with death about 10,000 times.
I have been called a 'Nazi' and a 'Zionist' hundreds of times.
LET ME STATE THIS CLEARLY:
I have been posting all day about the conflict today, not because I am pro-Israel, but because I have an infernal hatred of…",455264233,6498,"{'quote_count': 44, 'retweet_count': 759, 'like_count': 5695}",GoldingBF,The official account of Britain First (@BFirstParty) party leader Paul Golding,2023-10-07 19:43:17,https://pbs.twimg.com/profile_images/1641835335616266242/AONxlnwi_normal.jpg,https://twitter.com/GoldingBF/status/1710742612271923237,
twitter,"Men,

✌️

In respect to the horrific bloodshed in the Israel-Palestine conflict,

We take a break.

We pray for a peaceful agreement in that region.

#MasculinitySaturday",34908371,6364,"{'quote_count': 8, 'retweet_count': 743, 'like_count': 5613}",amerix,Reproductive Health | Men's Health & Wellness | Mandela Washington Fellow | eric@amerix.co.ke,2023-10-07 10:00:28,https://pbs.twimg.com/profile_images/1398393807041929219/EZUbnPO9_normal.jpg,https://twitter.com/amerix/status/1710595943475585224,
twitter,Attack on The State of #Israel is condemnable &amp; we all know the obvious outcome of this conflict. One thing is to be noted that “Mossad” has failed terribly this time. Raises serious questions.,1209882188772020225,4455,"{'quote_count': 7, 'retweet_count': 739, 'like_count': 3709}",vaibhavUP65,Founder: Defensive Offence || Co Founder: @donewstoday & @dopolitics_in  || Geopolitics || Banarasi || Hoptimist 🍺|| Peace ✌🏻 || Bookworm 📚||,2023-10-07 07:43:31,https://pbs.twimg.com/profile_images/1703038743425482752/914uY7FI_normal.jpg,https://twitter.com/vaibhavUP65/status/1710561477843976265,
twitter,Palestine is the most unambiguous conflict since WWII and a lot of y’all are failing the test,1267236543338385409,6159,"{'quote_count': 38, 'retweet_count': 710, 'like_count': 5411}",PippengerHarlo,"one of the internet’s most prominent advocates for not building any housing in San Francisco 
https://t.co/sYdwrROlS3",2023-10-07 16:31:38,https://pbs.twimg.com/profile_images/1609827658556411904/u3sjWl6j_normal.jpg,https://twitter.com/PippengerHarlo/status/1710694381114777771,
twitter,We can mourn the loss of every civilian in conflict without losing sight of the fact that Israel and its decades of violent occupation and brutality are to blame.,302259645,4997,"{'quote_count': 19, 'retweet_count': 688, 'like_count': 4290}",eleanorkpenny,"Writer, reluctant crane husband. Host @VersoBooks Podcast, @novaramedia,  @goodbyeworldpod, sometimes jokes n poems. Agents: @harriet__moore + Georgia Kanner",2023-10-07 12:11:59,https://pbs.twimg.com/profile_images/1487113695884947458/x7f9nFAz_normal.jpg,https://twitter.com/eleanorkpenny/status/1710629037863801208,
twitter,"I study sexual violence in conflict and I feel like that makes me qualified to say that it's not some sort of gotcha. It's horrific and condemnable and something every single armed group in history is probably guilty of.

It's a separate conversation really.",1084575699896336384,4882,"{'quote_count': 26, 'retweet_count': 681, 'like_count': 4175}",marycatherinecr,PhD student @yorkuniversity • decolonization is not a metaphor 🇮🇪🇵🇸,2023-10-07 14:31:38,https://pbs.twimg.com/profile_images/1707234016275881984/iQuZOi2V_normal.jpg,https://twitter.com/marycatherinecr/status/1710664181597241469,
twitter,"Religion was never for women because what was that video?? How do you rape someone till her trousers are soaked with her own blood?? Then you’re parading her while shouting God is great??

Rape &amp; femicide are how men assert their dominance over women. It’s not about war/conflict.",2163275055,2511,"{'quote_count': 37, 'retweet_count': 668, 'like_count': 1806}",thisibi,"Pain eater, fast today🦋",2023-10-07 21:08:36,https://pbs.twimg.com/profile_images/1653356558686748672/lmSM4SFX_normal.jpg,https://twitter.com/thisibi/status/1710764083169911155,
twitter,"🇺🇸🇵🇸🇮🇱 Biden delivers speech on the Palestine-Israel conflict

“We stand ready to offer support for Israel.” https://t.co/SvNBQg4k11",1604139215406727170,7245,"{'quote_count': 628, 'retweet_count': 655, 'like_count': 5962}",CensoredMen,🎥 Alternative Media | Follow & Hit The 🔔,2023-10-07 18:54:38,https://pbs.twimg.com/profile_images/1604139530004697090/q3WC_9On_normal.jpg,https://twitter.com/CensoredMen/status/1710730370663035357,https://pbs.twimg.com/amplify_video_thumb/1710730229688233984/img/l35oQUbAtIbZP8rK.jpg
twitter,"A clear explanation of Peter Dutton's sinister use of ""division"" and ""conflict"", which if successful will hold back progress for decades to come.

Absolutely shameful for everyone involved, but especially so for the moderate Liberals, who knew this and went along with it anyway.",4453812625,2356,"{'quote_count': 16, 'retweet_count': 616, 'like_count': 1724}",rachelrwithers,Contributing editor @THEMONTHLY. Bylines @Slate @voxdotcom @SatPaper @crikey_news,2023-10-07 22:48:54,https://pbs.twimg.com/profile_images/1127020374330433536/hStIZach_normal.png,https://twitter.com/rachelrwithers/status/1710789324252623352,
twitter,"@Amnesty is deeply alarmed by the mounting civilian death tolls in Gaza, Israel and the occupied West Bank and urgently call on all parties to the conflict to abide by international law and make every effort to avoid further civilian bloodshed.",342181234,2526,"{'quote_count': 274, 'retweet_count': 611, 'like_count': 1641}",AgnesCallamard,"Secretary General, Amnesty International. Ex Special Rapporteur on ExtraJudicial Executions (2016-2021). Ex Columbia Univ. Tweets on human rights. Views my own.",2023-10-07 20:24:20,https://pbs.twimg.com/profile_images/637343170347401216/9L4msQC6_normal.jpg,https://twitter.com/AgnesCallamard/status/1710752942578368793,
twitter,"Israel and Palestine are at war. Republicans have started a lie, blaming President Biden for the conflict in the Middle East. The $6 billion, which didn't include any U.S. taxpayer dollars, is in a Qatari bank account. None of these funds have been spent.
https://t.co/Fnwko3Xc79",1270133776748855304,1747,"{'quote_count': 35, 'retweet_count': 607, 'like_count': 1105}",TonyHussein4,"#Resistance - Info about Democratic Pro-Choice Candidates, The Supreme Court, Women's Rights, Voting Rights, LGBTQ+ Rights, Justice, Nature, and Dog Lover.",2023-10-07 19:59:10,https://pbs.twimg.com/profile_images/1522364965319069700/Ulrz3XfM_normal.jpg,https://twitter.com/TonyHussein4/status/1710746610215391359,https://pbs.twimg.com/ext_tw_video_thumb/1710725108384342016/pu/img/I96HXEnzAGMcmWHb.jpg
twitter,"Most world leaders have voiced their support for #Israel, but not me.

That's becuase I don't really understand what's happening, or what the conflict is even about.

This job isn't about diplomacy and leadership for me, it's about narcissism and waving to imaginary crowds. https://t.co/cO39i2FfPF",1539947315749916672,3930,"{'quote_count': 15, 'retweet_count': 568, 'like_count': 3347}",Trudeaus_Ego,"The egotistical thoughts of Prime Minister Trudeau. Father, ex-husband, Liberal leader, 23rd Prime Minister of Canada, bigot. Parody.",2023-10-07 13:02:12,https://pbs.twimg.com/profile_images/1539948168720404486/O5g8YGp7_normal.jpg,https://twitter.com/Trudeaus_Ego/status/1710641676052746250,https://pbs.twimg.com/media/F71ribqaoAApWSn.jpg
twitter,The biggest tragedy out of today's news in Israel is that the Jеws found a conflict where they can't fund both sides. https://t.co/EfZyphLeXB,824125695265800193,5296,"{'quote_count': 21, 'retweet_count': 565, 'like_count': 4710}",olive_picker,"☦️ 

Aviation enthusiast and friend of ducks and geese",2023-10-07 13:58:02,https://pbs.twimg.com/profile_images/1722638933861814272/HVMGknia_normal.jpg,https://twitter.com/olive_picker/status/1710655726476046346,https://pbs.twimg.com/media/F714UXvXIAAAzsO.jpg
twitter,"This morning our @SamaritansPurse DC-8 left Greensboro, NC, headed to Armenia to bring help to refugees there in Jesus' Name. More than 100,000 people have fled to Armenia due to conflict in the region. The plane is loaded with 30 tons of relief goods. We also mobilized surgical… https://t.co/Z8ORTOStuZ",44945327,5358,"{'quote_count': 27, 'retweet_count': 549, 'like_count': 4782}",Franklin_Graham,Official Twitter account for the President of Samaritan's Purse and the Billy Graham Evangelistic Association. Opinions stated are my own.,2023-10-07 13:03:46,https://pbs.twimg.com/profile_images/1524777949102125056/cL73ianY_normal.jpg,https://twitter.com/Franklin_Graham/status/1710642069331382273,https://pbs.twimg.com/amplify_video_thumb/1710642015895982080/img/Uc_j407ZXpr72mmp.jpg
twitter,"We're going to look back on this day in history however many years from now when declassified documents or whistleblowers come out, and we will likely see that it was yet another example of a country allowing their citizens to be killed to justify military conflict and to further…",1145494391169191937,2516,"{'quote_count': 23, 'retweet_count': 547, 'like_count': 1946}",Inversionism,Chronicles of the clown world where everything is inverted and upside down. PhD Clownworldology  https://t.co/pnJoNccz0S - https://t.co/kdZyMY2tAl,2023-10-07 20:33:56,https://pbs.twimg.com/profile_images/1679930648184668175/jYcxVbZ6_normal.png,https://twitter.com/Inversionism/status/1710755359768346759,
