"","id_of_tweet","cleaned_text.x","batch","sentiment","error","created_at","total_interactions_count"
"1",1040,"Largescale celebrations have begun across the Middle East following Gaza's unprecedented attack on Israel. Yemen Iraq Turkey and Iran are among the countries reported with a significant turnout. Gaza Palestine",4,"-1","",7,3770
"2",1047,"Palestinians in London are cheering on the Hamas attacks in Israel.",4,"1","",7,3163
"3",1053,"Can we agree that all attacks on Democracy are bad? Whether it be Russias attack on Ukraine Hamas attacking Israel or Trump sending his mob to attack Congress.",4,"1","",7,3686
"4",1056,"You still havent held Israel accountable for their murder of Shireen Abu Akleh.",4,"-1","",7,2798
"5",1081,"Me unfollowing every celebrity every person I know going against Palestine and supporting Israel instead. Uneducated for real. All of sudden people want to have hearts but where was all this mercy when Palestine was getting terrorized and still are?",4,"-1","",7,1861
"6",1092,"No American leader should struggle to say We Stand With Israel.",4,"1","",7,2056
"7",1116,"With the tragedy in Israel and the open southern border of the U.S. these war ready men could take up arms here. I ain't impossible folks!",4,"1","",7,479
"8",1120,"BREAKING After several hours hostage situation in a home in Ofakim southern Israel  officially over. 2 people rescued by Israeli security forces. Palestinian terrorists killed. israelunderattack",4,"1","",7,1025
"9",1159,"So far Israel has targeted 3 hospitals and 5 ambulances in Gaza.",4,"-1","",7,212
"10",1188,"Quick update have officially landed in Greece and out of Israel thank you to everyone who was sending prayers through this process. Pray for Israel and their families involved. This has been a wild day and cannot imagine what most are going through!",4,"1","",7,965
"11",1191,"I visited Israel for the first time earlier this year and its distressing to see the unfolding terror overnight. Assaid we must condemn the indiscriminate and abhorrent attacks by Hamas on Israel. We must also look out for our Jewish community at home.",4,"1","",7,180
"12",1198,"I definitely do not support Hamas targetting civilians...nor do I condone Israel doing the same. You can't kneel on someone's throat for 80 years without expecting some retaliation.",4,"-1","",7,226
"13",1228,"i got asked to do a thread of celebrities that support Palestine but today i only saw simihaze posting in support of Palestine and theyre Palestinian. is sad cause all their close friends are posting i stand with israel knowing simi haze fai gigi and bella are Palestinian.",4,"-1","",7,75430
"14",1230,"Has the GOP suggested giving part of Israel away to stop the conflict yet? Or does that only apply when they can carry Putins water?",4,"-1","",7,29752
"15",1252,"BREAKING As the IsraelPalestine conflict deteriorates neutral third party peace keepers will be deployed to the Holy Land...er... the region to maintain peace and in no way reinstate the Kingdom of Jerusalem",4,"0","",7,14046
"16",1256,"The Human Cost Of The IsraeliPalestinian Conflict  deathsinjuries documented by the UN 2008 Palestine  3202 Israel  853 2009 Palestine  7460 Israel  123 2010 Palestine  1659 Israel  185 2011 Palestine  2260 Israel  136 2012 Palestine",4,"0","",7,4500
"17",1262,"Men In respect to the horrific bloodshed in the IsraelPalestine conflict We take a break. We pray for a peaceful agreement in that region. MasculinitySaturday",4,"0","",7,6364
"18",1271,"Israel and Palestine are at war. Republicans have started a lie blaming President Biden for the conflict in the Middle East. The 6 billion which didn't include any U.S. taxpayer dollars is in a Qatari bank account. None of these funds have been spent.",4,"0","",7,1747
"19",1300,"The German Government has stated that there is a High Risk of a Major Regional Conflict due to the ongoing Situation in Israel.",4,"0","",7,2365
"20",1336,"Sudan Libya and now PalestineIsrael all in active conflict Syria Iraq Tunis Lebanon all slow burning. It's worth pondering on how much of this is down to modern diplomacy no longer trying to ever solve problems just freeze them in dysfunctional status quos",4,"0","",7,767
"21",1339,"I know I'm supposed to be an expert in these kind of conflicts and this conflict in particular but I've refrained from Tweeting till now because the news coming in is just so awful. Here's my take on all this so far",4,"0","",7,789
"22",1348,"Palestinians are routinely being killed as a result of the occupation with no resolution in sight and with an international community that has long since lost interest in trying to bring the conflict and occupation to an end. A sustained violent response was almost inevitable.",4,"-1","",7,1240
"23",1358,"i had the same issue earlier this year and oomf linked me to this video its outdated but it covers the main grounds as to why and how this conflict started",4,"0","",7,1313
"24",1372,"Israel at War  At least 300 dead nearly 1600 injured after attacks and invasion by Hamas near Gaza border  232 dead nearly 1700 injured on Palestinian side  Over 100k Israeli reservists called up as Israel prepares for possible multifront conflict Via Fox  Dozens of",4,"0","",7,129
"25",1374,"Its a good thing the Mayor of Chicago doesnt have too much on his plate so that he is able to weigh in on the IsraeliPalestinian conflict this weekend.",4,"0","",7,514
"26",1375,"When the scale of what is happening in Israel became clear I think we knew the coming conflict would not be like many of others in the past 15 years. This will be a war. It has the potential to spiral in a way we have not seen in decades. This will be a trial by fire for many.",4,"0","",7,338
"27",1393,"The Israeli government is the principal belligerent of the conflict. It is imposing an apartheid regime on the Palestinians and illegally occupying Palestinian land.",4,"-1","",7,78
"28",1410,"And the strange thing is that there were tensions over the last month so there was a reason to have heightened alert over the holidays. It seems inconceivable that after decades of conflict on Gaza border it was left unsecure like this.",4,"0","",7,116
"29",1415,"Yep. I took a seminar on IsraeliPalestinian history in college and I was fully prepared for it to complicate my views on the morality of the conflict. Instead it just revealed for me how onesided and truly brazen Israeli settlers' aggression has been throughout history.",4,"-1","",7,139
"30",1457,"The conflict your deliberateness in W77 CB1 K99 222B TN60",4,"0","",7,0
"31",1508,"Search all the wars Palestine started and lost. Israel could have done much worse. They proposed a two state solution and Palestine did not accepted. If Israel is truly an apartheid I am sure they would have accepted. One rule of conflict The response will always be worse.",4,"1","",7,1
"32",1526,"It doesnt work like that so I dont really understand what youre supposed to mean by that but actually some of the Christians books and Islamic books they stated that this conflict will continue until that Palestinians get their rights and conquer the mosque of Al aqsaa",4,"-1","",7,0
"33",1558,"You know the ArabIsraeli conflict began long before 1948. Israelis have lived next door to neighbors who want to kill them for centuries. Palestinians have been violent neighbors from the start then play the victim when Israel reacts. Read further back",4,"1","",7,0
"34",1559,"i bet you not even 10 did a simple google search to understand the conflict like theres no way",4,"0","",7,14
