"🇮🇱🇺🇳 BREAKING: ISRAELI airstrikes have killed 17 United Nations employees, and Israel has BOMBED 35 UNRWA facilities in Gaza.
 

 🇮🇱 If Israel is just fighting Hamas, why are they targeting the UN?",-1
"🇮🇱🇵🇸 @Israel claimed they had VIDEO PROOF that Hamas hit the hospital, then they DELETED it after 26 minutes, as it showed NOTHING.
 

 Now, the most sophisticated intelligence operation in the world posted random audio clips &amp; wants you to believe this is proof?
 

 They are lying!",-1
"🇮🇱 I thought Israel was fighting Hamas?
 

 🇮🇱 What are they targeting women and children?
 

 You have been lied to… https://t.co/f05n4NKEk3",-1
"🇮🇱 If Israel is ""JUST fighting Hamas"" as they claim...
 

 🇮🇱 Why are they BOMBING Mosques and Churches? https://t.co/G2jNRS2zv7",-1
"🇮🇱 Why is their an Israeli fighter jet flying above the hospital at the time it was bombed if Israel didn’t bomb it?
 

 🇮🇱 Also why are the Hamas missiles Israel claims hit the hospital all flying in the opposite direction of the hospital?
 

 Israel did it! https://t.co/EE7RsoPtQm",-1
"🇮🇱 PROPAGANDA 100% EXPOSED
 

 @Israel posted this audio claiming it shows Hamas discussing a failed missile launch that hit the hospital.
 

 Only problem?
 

 The cemetery is FAR TOO CLOSE to the hospital to be the launch site of the rocket barrage video they posted.
 

 Terrible liars! https://t.co/h7EEgbQamy",-1
"""Hamas this, Hamas that""
 

 Fine. Here's a Palestine WITHOUT Hamas.
 

 And the Palestinians are STILL being murdered and executed.
 

 This was never about Hamas.",-1
"@benshapiro STOP LYING BEN
 

 ❌Israel DELETED their ""video proof""
 ❌You lied about 40 beheaded babies
 ❌Israel’s Digital Spokesperson ADMITTED Israel did it
 ❌Israel warned the hospital to evacuate before bombing
 ❌Hamas couldn’t have leveled the entire hospital with one of their tiny bombs",-1
"🇮🇱 Israeli military bulldozers are DESTROYING streets right now in the Nour Shams refugee camp in the West Bank.
 

 🇮🇱 Why are they DESTROYING civilian infrastructure if Hamas isn’t in the West Bank? https://t.co/v4Sy68UEV6",-1
"🇮🇱 They lied to you about beheaded babies.
 🇮🇱 They lied to you about Hamas raping women.
 🇮🇱 They lied to you about Israeli kids in cages.
 🇮🇱 They lied to you about the hospital bombing.
 

 What will they lie about next?",-1
"🇮🇱 This is the Israeli military.
 

 🇵🇸 Now do you understand why they’re afraid to go fight Hamas in Gaza? https://t.co/JXU8txXezK",-1
🇹🇷🇮🇱 The Turkish Government has confirmed that Israel FAKED posts claiming that Hamas bombed the Gaza Hospital &amp; that Israel is responsible for the horrific war crime — NOT Hamas. https://t.co/BwKm91TEgC,-1
"The difference…
 

 There is no way Hamas’ rocket can destroy a hospital
 

 Everybody knows it was done by Israel but they keep lying to themselves
 

 Israel is the real terrorist https://t.co/c5uu4BYKo8",-1
"Israel is now bombing the West Bank.
 

 Hamas doesn’t govern the West Bank, so who is Israel supposedly “defending” itself from here?
 

 Do you see now that Israel’s fight has never been with Hamas, but with every single Palestinian?",-1
"🇮🇱 Israel has warned 24 HOSPITALS to evacuate in Gaza, including Al-Shifa Hospital.
 

 They’re gonna bomb one again, then blame Hamas.",-1
"hamas is releasing hostages for humanitarian reasons, completely unharmed while israel has killed over 3000 CHILDREN IN 8 DAYS and continues to bomb churches, hospitals and mosques.....",-1
"Several experts confirm Hamas’ view to @Channel4News that the audio tape of “Hamas” operatives talking about the missile malfunction is a fake . They say the tone, syntax, accent and idiom are absurd.",-1
"🇮🇱 How did Hamas BOMB the hospital if their rockets were flying in the opposite direction?
 

 🇮🇱 How did Israel NOT BOMB the hospital if their fighter jet was seen over the hospital during the explosion?
 

 The warpigs are lying to you… https://t.co/X64QiZKnYt",-1
"First, they boasted that they took out a Hamas cell by bombing the hospital in which they hid. Then, when they realised the soul-crushing human toll, they deleted the tweet and desperately tried to blame it on Hamas-Islamic Jihad. The people of Israel deserve better leaders. https://t.co/b01HF3KJ0k",-1
"The killing of thousands of innocent civilians, including children in Gaza and the collective punishment of millions of people by cutting off their food, water and electricity are crimes against humanity.
 

 Hamas' killing of innocent Israelis and taking of hostages is a crime and…",-1
BREAKING: Hamas claims it tried releasing additional two hostages yesterday but that Israel 'refused to receive them',-1
"🇮🇱 Israel BOMBS civilian building in Gaza! 
 

 🇮🇱 I thought they were just fighting Hamas?
 

 Follow @stairwayto3dom (source) https://t.co/08zo2MxaIN",-1
"Israel: Our intelligence services had no idea Hamas was planning its attack on October 7.
 

 Also Israel: Here's an audio clip from our intelligence archives of Hamas fighters talking to each other.",-1
"Dr. Ayesha Khan, a resident at @VUMChealth celebrated the attacks on Israel. She claimed Hamas deserves to “resist.. by any means necessary” and posted a photo of paragliders representing the Hamas terrorists who paraglided into Israel and murdered over 1,400 people, raped,… https://t.co/v7msSQS7A9",-1
"A friend noticed the audio recording that Israeli forces claim to be ‘Hamas operatives’ is recorded in stereo. Speakers on L and R channels. 
 

  “There is no way audio conversations are recorded in stereo, anywhere. Their unit took the audio stream and fucked with it” https://t.co/ivyUwyy5kO",-1
"Since January 1st of 2023, 6,000 Palestinians have been abducted by the IOF. Since October 7, 850 were abducted. Just last night, a record 120 were abducted, all across the West Bank, where there is currently no Hamas presence, and thus presumably no reason to carry out force",-1
"After cementing the lie that Hamas decapitated 40 babies, Israel cemented the lie that Palestinians blew up their own hospital, with media stenographers eager to whitewash their war crimes. They’re accomplices in genocide",-1
"🇺🇸🇮🇱 The US State Department says they don’t want an international investigation into the Gaza Hospital massacre because they believe Israel’s lie that Hamas did it!
 

 They are COVERING UP the truth. https://t.co/5shtkxBvtS",-1
"Spain🇪🇸 MASSIVE protest in Barcelona, in support of the Palestinian people — the victims of Israeli aggression in Gaza.🇵🇸
 

 These protests are not in support of Hamas or terrorism — they are in support of an oppressed people. 
  https://t.co/Q6nYRDrDiQ",-1
"🇮🇱 The alleged “Hamas intercepted call” that Israel realeased as evidence that Hamas BOMBED the Gaza Hospital was EDITED, EFFECTS were added, &amp; the call was DIVIDED on two separate channels (meaning it was not intercepted).
 

 🇮🇱 Another FAKE from Israel! https://t.co/B1Sg2uNjRV",-1
"🇮🇱 Israel damaged Gaza’s OLDEST CHRISTIAN CHURCH in a bombing today.
 

 ☦️ Here are the civilians that survived.
 

 I thought Israel was fighting Hamas?https://t.co/mnloTFLMl1",-1
"🇮🇱🇵🇸 How does a missile that is traveling thousands of miles per hour, reach near-peak altitude &amp; fall on a hospital that is just several feet away from its launch site (according to the IDF’s Hamas audio recordings)? https://t.co/cOoMXHpyRl",-1
